Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
married,Other,1,other,1,higher education,4.86830338551846,eea,secondary or some secondary,higher education,Administrative and Office Workers,Intermediate Level Technicians and Professions,0,0,0,1,0,0,3.66612246699132,0,-2.3025850929940455,-2.3025850929940455,2.5257286443082556,0.5,1.79,1
single,Other,1,other,1,higher education,4.860587297852597,eea,higher education,higher education,professionals and specialists,professionals and specialists,1,0,0,1,0,0,3.299533727885655,0,2.5726122302071057,-2.3025850929940455,2.5257286443082556,0.5,1.79,1
single,general contingent,1,health sciences,1,secondary education,4.9494688588587685,eea,basic,basic,Industrial and Machine Operators,Military and Armed Forces,1,0,0,1,0,0,2.89591193827178,0,2.7103808164404923,-2.3025850929940455,2.2512917986064953,-0.8,-3.12,0
single,general contingent,3,other,1,secondary education,4.829113417472866,eea,basic,basic,Administrative and Office Workers,Unskilled Workers,1,0,0,1,0,0,2.89591193827178,0,-2.3025850929940455,-2.3025850929940455,2.0412203288596382,2.6,0.32,0
single,general contingent,2,health sciences,1,secondary education,4.829113417472866,eea,basic,basic,Unskilled Workers,Unskilled Workers,0,0,0,1,0,0,2.89591193827178,0,2.582738899025035,-2.3025850929940455,2.791165107812717,0.3,-0.92,0
single,Other,1,social sciences,1,professional qualification,4.86830338551846,eea,basic,secondary or some secondary,Unskilled Workers,Unskilled Workers,0,0,0,1,0,1,3.0492730404820207,0,2.4932054526026954,-2.3025850929940455,2.6390573296152584,-0.3,0.79,0
single,general contingent,3,other,1,secondary education,4.891100725401066,eea,secondary or some secondary,basic,Administrative and Office Workers,Industrial and Machine Operators,1,0,0,1,1,1,2.9496883350525844,0,-2.3025850929940455,-2.3025850929940455,2.388762789235098,1.4,1.74,0
single,general contingent,1,social sciences,1,secondary education,4.844974178195408,eea,secondary or some secondary,secondary or some secondary,Intermediate Level Technicians and Professions,Administrative and Office Workers,1,0,0,1,1,0,2.9496883350525844,0,2.4423470353692043,-2.3025850929940455,2.388762789235098,1.4,1.74,0
single,Other,1,social sciences,1,secondary education,4.754451888703846,eea,secondary or some secondary,secondary or some secondary,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,0,0,1,1,0,3.1822118404966093,0,-2.3025850929940455,-2.3025850929940455,2.5494451709255714,3.7,-1.7,0
other,Other,1,health sciences,1,basic education,4.891851758106289,eea,secondary or some secondary,secondary or some secondary,Service and Sales Workers,Service and Sales Workers,1,0,0,1,1,0,3.370738174177447,0,2.4849066497880004,-2.3025850929940455,2.6390573296152584,-0.3,0.79,1
single,general contingent,3,other,1,secondary education,4.935193098929397,eea,basic,basic,Service and Sales Workers,Intermediate Level Technicians and Professions,1,0,0,1,1,1,2.9496883350525844,0,-2.3025850929940455,-2.3025850929940455,2.388762789235098,1.4,1.74,0
single,Other,1,technology,1,professional qualification,4.86830338551846,eea,basic,basic,Unskilled Workers,Unskilled Workers,1,0,0,1,1,0,3.139832617527748,0,2.5393497402602203,-2.3025850929940455,2.1972245773362196,1.4,3.51,0
single,general contingent,3,social sciences,1,secondary education,4.829113417472866,eea,secondary or some secondary,basic,Industrial and Machine Operators,Industrial and Machine Operators,0,0,1,1,1,0,2.9496883350525844,0,2.424802725718295,-2.3025850929940455,2.791165107812717,0.3,-0.92,1
single,Other,1,other,1,secondary education,5.075798620002669,eea,basic,basic,Industrial and Machine Operators,Military and Armed Forces,0,0,0,1,1,0,3.261935314328648,0,2.4932054526026954,-2.3025850929940455,2.5494451709255714,3.7,-1.7,0
single,general contingent,1,social sciences,1,secondary education,4.997887721273753,eea,basic,basic,Service and Sales Workers,Service and Sales Workers,0,0,0,1,1,0,2.89591193827178,0,-2.3025850929940455,-2.3025850929940455,2.0412203288596382,2.6,0.32,0
single,general contingent,1,health sciences,1,secondary education,5.011301738639416,eea,basic,basic,Industrial and Machine Operators,Administrative and Office Workers,0,0,0,1,1,0,3.1822118404966093,0,2.4911371995386364,-2.3025850929940455,2.6390573296152584,-0.3,0.79,0
single,general contingent,1,other,1,secondary education,4.9494688588587685,eea,basic,basic,Service and Sales Workers,Military and Armed Forces,1,0,0,1,1,0,2.9496883350525844,0,-2.3025850929940455,-2.3025850929940455,2.747270914255491,2.8,-4.06,1
single,general contingent,4,other,1,secondary education,4.771531723203316,eea,basic,basic,Service and Sales Workers,Industrial and Machine Operators,1,0,0,1,1,0,2.89591193827178,0,2.4652706752711415,-2.3025850929940455,2.5257286443082556,0.5,1.79,1
single,general contingent,2,social sciences,1,secondary education,4.956531035103055,eea,basic,basic,Unskilled Workers,Unskilled Workers,1,0,0,1,1,0,2.89591193827178,0,2.52038103798166,-2.3025850929940455,2.388762789235098,1.4,1.74,0
single,general contingent,3,social sciences,1,secondary education,4.788324729085938,eea,basic,basic,Administrative and Office Workers,Industrial and Machine Operators,1,0,1,1,1,0,2.89591193827178,0,2.345005808877998,-2.3025850929940455,2.388762789235098,1.4,1.74,1
single,general contingent,4,other,1,secondary education,4.664382045619937,eea,basic,basic,Industrial and Machine Operators,Industrial and Machine Operators,1,0,0,1,1,1,3.0492730404820207,0,2.3608540011180215,-2.3025850929940455,2.2512917986064953,-0.8,-3.12,1
single,general contingent,4,social sciences,1,secondary education,4.796616650559047,eea,secondary or some secondary,basic,Unskilled Workers,Industrial and Machine Operators,1,0,1,1,1,1,2.9496883350525844,0,2.6222502112988773,-2.3025850929940455,2.1972245773362196,1.4,3.51,0
single,general contingent,4,health sciences,1,secondary education,5.011301738639416,eea,basic,basic,Unskilled Workers,Unskilled Workers,0,0,0,1,1,1,3.095577608523707,0,2.7042334025755093,-2.3025850929940455,2.791165107812717,0.3,-0.92,0
married,Other,1,social sciences,0,secondary education,4.788324729085938,eea,basic,basic,Unskilled Workers,Agricultural and Skilled Workers,0,0,0,1,1,0,3.4995332823830174,0,2.4932054526026954,-2.3025850929940455,2.388762789235098,1.4,1.74,0
single,general contingent,6,social sciences,1,secondary education,4.73707525686803,eea,basic,basic,Unskilled Workers,Unskilled Workers,1,0,0,1,1,0,3.0007198150650303,0,2.5095992623783716,-2.3025850929940455,2.388762789235098,1.4,1.74,1
single,Other,1,social sciences,0,higher education,4.942356453342962,eea,higher education,higher education,professionals and specialists,professionals and specialists,1,0,0,1,1,0,3.55820113047182,0,-2.3025850929940455,0.09531017980432493,2.388762789235098,1.4,1.74,1
single,Other,1,technology,1,higher education,5.075798620002669,eea,higher education,higher education,Administrative and Office Workers,professionals and specialists,0,0,1,1,1,0,3.1822118404966093,0,2.5068855565067754,-2.3025850929940455,2.5257286443082556,0.5,1.79,1
single,general contingent,1,other,1,secondary education,4.788324729085938,eea,basic,basic,Administrative and Office Workers,Administrative and Office Workers,0,0,0,1,1,0,2.89591193827178,0,2.4932054526026954,-2.3025850929940455,2.5494451709255714,3.7,-1.7,0
married,Other,1,social sciences,0,secondary education,4.86830338551846,eea,basic,basic,Unskilled Workers,Agricultural and Skilled Workers,1,0,0,1,0,0,3.4995332823830174,0,2.4069451083182885,-2.3025850929940455,2.2512917986064953,-0.8,-3.12,0
single,Other,1,health sciences,1,secondary education,5.075798620002669,eea,basic,basic,Unskilled Workers,Industrial and Machine Operators,1,0,0,1,0,1,3.095577608523707,0,2.578700529074361,-2.3025850929940455,2.388762789235098,1.4,1.74,0
single,Other,1,social sciences,1,secondary education,4.788324729085938,eea,secondary or some secondary,basic,Administrative and Office Workers,Service and Sales Workers,0,0,0,1,0,1,3.2228678461377385,0,2.3608540011180215,-2.3025850929940455,2.2512917986064953,-0.8,-3.12,0
single,general contingent,1,social sciences,1,secondary education,4.821087692210561,eea,basic,basic,Administrative and Office Workers,students,1,0,0,1,1,0,3.0007198150650303,0,2.376454941560501,0.09531017980432493,2.0412203288596382,2.6,0.32,0
single,general contingent,6,social sciences,1,secondary education,4.963543686562405,eea,basic,basic,Unskilled Workers,Unskilled Workers,1,0,0,1,1,0,3.139832617527748,0,2.6461747973841225,-2.3025850929940455,2.4159137783010487,0.6,2.02,0
single,Other,2,technology,1,secondary education,4.745801315727837,eea,basic,basic,Unskilled Workers,Agricultural and Skilled Workers,1,0,1,1,1,0,2.89591193827178,0,2.312535423847214,-2.3025850929940455,2.747270914255491,2.8,-4.06,0
single,Other,1,health sciences,1,secondary education,4.891851758106289,eea,secondary or some secondary,secondary or some secondary,Administrative and Office Workers,Military and Armed Forces,0,0,0,1,1,0,3.1822118404966093,0,-2.3025850929940455,-2.3025850929940455,2.6390573296152584,-0.3,0.79,1
single,general contingent,2,social sciences,1,secondary education,4.891851758106289,other,basic,secondary or some secondary,Unskilled Workers,Unskilled Workers,1,0,0,0,0,0,3.0492730404820207,1,2.6461747973841225,-2.3025850929940455,2.1972245773362196,1.4,3.51,0
single,Other,1,other,1,secondary education,4.891851758106289,other,secondary or some secondary,secondary or some secondary,Administrative and Office Workers,Administrative and Office Workers,0,0,0,1,0,0,3.261935314328648,1,2.4932054526026954,0.09531017980432493,2.1972245773362196,1.4,3.51,1
married,Other,1,social sciences,1,secondary education,4.891851758106289,eea,basic,little to no education,students,students,0,0,0,1,0,0,3.66612246699132,0,2.5468376075184906,-2.3025850929940455,2.0412203288596382,2.6,0.32,1
married,Other,1,social sciences,0,secondary education,4.891851758106289,eea,basic,basic,Unskilled Workers,Unskilled Workers,0,0,0,1,0,0,3.7864597824528,0,2.482821143296979,-2.3025850929940455,2.5494451709255714,3.7,-1.7,0
single,Other,1,technology,1,secondary education,4.86830338551846,other,basic,higher education,Unskilled Workers,professionals and specialists,1,0,0,1,1,0,2.9496883350525844,1,2.6461747973841225,-2.3025850929940455,2.6390573296152584,-0.3,0.79,0
single,general contingent,5,social sciences,1,secondary education,4.906015244966153,eea,basic,secondary or some secondary,Service and Sales Workers,Service and Sales Workers,1,0,0,1,0,0,2.89591193827178,0,2.6222502112988773,-2.3025850929940455,2.1972245773362196,1.4,3.51,0
single,general contingent,5,health sciences,1,secondary education,4.883559211528279,eea,basic,basic,Industrial and Machine Operators,Industrial and Machine Operators,1,0,0,1,0,1,2.89591193827178,0,2.6282852326333477,-2.3025850929940455,2.5257286443082556,0.5,1.79,0
single,general contingent,1,other,1,secondary education,4.906015244966153,eea,secondary or some secondary,higher education,Unskilled Workers,leadership and management,1,0,0,1,0,0,2.9496883350525844,0,2.6602595372658615,0.7419373447293773,2.5494451709255714,3.7,-1.7,0
single,general contingent,4,health sciences,1,secondary education,4.745801315727837,eea,higher education,higher education,professionals and specialists,professionals and specialists,1,0,1,0,0,0,2.9496883350525844,0,2.4898941912990393,-2.3025850929940455,2.6390573296152584,-0.3,0.79,1
single,Other,1,other,1,professional qualification,4.86830338551846,eea,basic,basic,Unskilled Workers,Unskilled Workers,0,0,0,1,0,0,3.0492730404820207,0,2.563024429051952,-2.3025850929940455,2.1972245773362196,1.4,3.51,1
single,general contingent,4,other,1,secondary education,4.891851758106289,eea,secondary or some secondary,secondary or some secondary,Unskilled Workers,Military and Armed Forces,1,0,0,1,0,0,3.0007198150650303,0,-2.3025850929940455,-2.3025850929940455,2.791165107812717,0.3,-0.92,0
married,Other,1,social sciences,0,secondary education,4.86830338551846,eea,basic,basic,Agricultural and Skilled Workers,Service and Sales Workers,1,0,0,1,0,0,3.586292865338835,0,-2.3025850929940455,-2.3025850929940455,2.2512917986064953,-0.8,-3.12,1
other,Other,1,technology,1,secondary education,4.891851758106289,eea,basic,basic,Unskilled Workers,Agricultural and Skilled Workers,0,0,0,1,0,0,3.763522997109702,0,2.6899934173549673,-2.3025850929940455,2.747270914255491,2.8,-4.06,0
single,general contingent,1,social sciences,1,secondary education,4.812997033190408,eea,basic,basic,Unskilled Workers,Industrial and Machine Operators,1,0,0,1,0,0,2.9496883350525844,0,-2.3025850929940455,-2.3025850929940455,2.4159137783010487,0.6,2.02,1
single,Other,1,social sciences,1,secondary education,4.86830338551846,eea,higher education,secondary or some secondary,professionals and specialists,Industrial and Machine Operators,0,0,1,1,0,0,3.0007198150650303,0,2.5726122302071057,-2.3025850929940455,2.4159137783010487,0.6,2.02,0
single,general contingent,2,social sciences,1,secondary education,4.804840381116659,eea,basic,basic,Administrative and Office Workers,Industrial and Machine Operators,1,0,0,1,0,0,2.9496883350525844,0,-2.3025850929940455,-2.3025850929940455,2.791165107812717,0.3,-0.92,1
single,general contingent,1,other,1,secondary education,4.728272383122075,eea,secondary or some secondary,secondary or some secondary,Administrative and Office Workers,Administrative and Office Workers,1,0,0,1,0,0,3.0007198150650303,0,2.6602595372658615,-2.3025850929940455,2.747270914255491,2.8,-4.06,1
single,general contingent,5,health sciences,1,secondary education,4.7104306966455844,eea,higher education,higher education,Administrative and Office Workers,Intermediate Level Technicians and Professions,1,0,0,1,0,0,3.0007198150650303,0,2.592764045644414,-2.3025850929940455,2.5257286443082556,0.5,1.79,1
single,general contingent,2,social sciences,1,secondary education,4.891851758106289,eea,basic,secondary or some secondary,Unskilled Workers,Intermediate Level Technicians and Professions,1,0,0,1,0,0,3.0007198150650303,0,2.4652706752711415,-2.3025850929940455,2.791165107812717,0.3,-0.92,0
single,general contingent,1,social sciences,1,secondary education,4.956531035103055,eea,basic,basic,Agricultural and Skilled Workers,Industrial and Machine Operators,1,0,0,1,0,0,2.89591193827178,0,2.635991409993424,-2.3025850929940455,2.6390573296152584,-0.3,0.79,0
single,general contingent,2,social sciences,1,secondary education,4.812997033190408,eea,secondary or some secondary,basic,Administrative and Office Workers,Industrial and Machine Operators,1,0,0,1,0,1,2.89591193827178,0,2.5726122302071057,-2.3025850929940455,2.1972245773362196,1.4,3.51,0
